a_name,a_alt_name,a_ra,a_dec,a_redshift,a_lx_500,a_mass_500,a_radius_500,b_name,b_science_case,b_ra,b_dec,b_z,b_l,b_b,a_lx_ratio_cat_4,a_lx_ratio_cat_3,a_lx_ratio_cat_2,a_lx_ratio_cat_1,a_overlap_cat_4,a_overlap_cat_3,a_overlap_cat_2,a_overlap_cat_1,a_notes,a_linear_scale_factor,a_sub_catalog_name,a_catalog_name,a_bii,a_lii,a_other_names,_delta_ab
MCXC J0658.5-5556,RXC J0658.5-5556,06 58 31.1,-55 56 49,0.2965,2.0425901e+45,1035990000000000.0,1.3902,1E0657_Bullet,Merging Clusters,06 58 27.0,-55 56 51,0.3,266.0227,-21.2568,,,,,,,,,losStr,4.418,REFLEX,NORAS/REFLEX,-21.2475,266.0252,1ES0657,0.5749
MCXC J0658.5-5556,RXC J0658.5-5556,06 58 31.1,-55 56 49,0.2965,2.0425901e+45,1035990000000000.0,1.3902,1E0657_Bullet_shortexp,Merging Clusters,06 58 27.0,-55 56 51,0.3,266.0227,-21.2568,,,,,,,,,losStr,4.418,REFLEX,NORAS/REFLEX,-21.2475,266.0252,1ES0657,0.5749
MCXC J0258.9+1334,RXC J0258.9+1334,02 58 57.5,13 34 46,0.0739,6.088643e+44,584880000000000.0,1.2421,Abell_399_401_pointing_2,Filament,02 59 00.1,13 35 05,0.0727,164.1915,-38.859,,,,0.88,,,,BCS,L,1.405,NORAS,NORAS/REFLEX,-38.8696,164.1847,A0401,0.7104
MCXC J1131.9-1955,RXC J1131.9-1955,11 31 56.4,-19 55 37,0.3075,1.2461967e+45,759800000000000.0,1.2485,Abell1300,Merging Clusters,11 31 56.0,-19 54 51,0.31,278.5818,39.1691,,,,0.849,,,,MACS_MJFV,,4.531,REFLEX,NORAS/REFLEX,39.1579,278.5902,A1300,0.7766
MCXC J0105.5-2439,RXC J0105.5-2439,01 05 34.8,-24 39 17,0.23,5.160525e+44,471670000000000.0,1.0959,Abell141,Merging Clusters,01 05 35.4,-24 39 33,0.23,175.9135,-85.9722,,,,0.956,,,,SGP,,3.674,REFLEX,NORAS/REFLEX,-85.9712,175.8435,A0141,0.3013
MCXC J1247.7-0247,RXC J1247.7-0247,12 47 43.2,-02 47 32,0.1797,2.417195e+44,308590000000000.0,0.9685,Abell1612,Merging Clusters,12 47 43.2,-02 47 32,0.18,301.0712,60.0661,,,,,,,,,,3.031,REFLEX,NORAS/REFLEX,60.0661,301.0712,A1612,0.0013
MCXC J1311.5-0120,RXC J1311.4-0120,13 11 30.0,-01 20 07,0.1832,1.2524024e+45,839200000000000.0,1.3502,Abell1689,Merging Clusters,13 11 29.0,-01 20 10,0.18,313.3522,61.1294,,,,,,,,,,3.078,REFLEX,NORAS/REFLEX,61.1296,313.3611,A1689,0.2567
MCXC J0131.8-1336,RXC J0131.8-1336,01 31 53.0,-13 36 34,0.206,5.701343e+44,510510000000000.0,1.1349,Abell209,Merging Clusters,01 31 53.0,-13 36 39,0.21,159.8805,-73.509,,,,0.982,,,,SGP,,3.377,REFLEX,NORAS/REFLEX,-73.5078,159.8779,A0209,0.0814
MCXC J1615.7-0608,RXC J1615.7-0608,16 15 46.9,-06 08 45,0.203,2.0158522e+45,1105180000000000.0,1.4697,Abell2163,"Merging Clusters, Exotic Lens",16 15 49.0,-06 09 08,0.2,6.7679,30.4548,,,,,,,,,,3.338,REFLEX,NORAS/REFLEX,30.4655,6.7679,A2163,0.6436
MCXC J2127.1-1209,RXC J2127.1-1209,21 27 11.0,-12 09 33,0.176,3.902586e+44,414410000000000.0,1.0699,Abell2345,Merging Clusters,21 27 09.8,-12 09 59,0.18,39.87,-40.0006,,,,,,,,,,2.981,REFLEX,NORAS/REFLEX,-40.002,39.8811,A2345,0.5199
