SuperBIT_name,object_type,SuperBIT_real_name,alt_name,MCXC_name,RXC_name,Government name(s),RA,DEC,redshift,lx_500,SuperBIT_complete,LoVoCCS,Simbad RA,Simbad Dec
Abell2355,Cluster,Abell 2355,PLCK G056.0-34.9,MCXC J2135.2+0125,RXC J2135.2+0125,,323.821667,1.431667,0.23,-1,0,0,,
ACT_CL_J2319d7p0030_J2319d8p0038_J2320d0+0033,Cluster,ACTCL J2319.8+0038,ACTCL J2319.8+0038,-1,-1,,349.972083,0.636944,0.8972,-1,0,0,,
ZwCl2341p0000,Cluster,ZwCl2341.1+0000,ZwCl2341.1+0000,-1,-1,,355.915642,0.277578,0.27,-1,0,0,,
Leo4_short,Dwarf Galaxy,Leo4 short,Leo IV Dwarf Spheroidal,-1,-1,,173.2375,-0.533333,0.00044,-1,0,0,,
ChandraDeepFieldSouth,Calibration field,Chandra Deep Field South,-1,-1,-1,,-1,-1,-1,-1,0,0,,
COSMOS113,Galaxy,COSMOS113,-1,-1,-1,,-1,-1,-1,-1,1,0,,
COSMOSa,Calibration field,COSMOSa,-1,-1,-1,,-1,-1,-1,-1,1,0,,
COSMOSb,Calibration field,COSMOSb,-1,-1,-1,,-1,-1,-1,-1,1,0,,
COSMOSg,Calibration field,COSMOSg,-1,-1,-1,,-1,-1,-1,-1,1,0,,
COSMOSk,Calibration field,COSMOSk,-1,-1,-1,,-1,-1,-1,-1,0,0,,
COSMOSo,Calibration field,COSMOSo,-1,-1,-1,,-1,-1,-1,-1,1,0,,
Abell1689,Cluster,Abell 1689,NSC J131127-012045,MCXC J1311.5-0120,RXC J1311.4-0120,,197.872917,-1.338056,0.1832,-1,1,0,,
Abell1612,Cluster,Abell 1612,ZwCl 1245.1-0230,MCXC J1247.7-0247,RXC J1247.7-0247,,191.91,-2.798611,0.1779,-1,0,0,,
Abell2163,Cluster,Abell 2163,-1,MCXC J1615.7-0608,RXC J1615.7-0608,,243.89223,-6.12397,0.203,-1,1,0,,
ZTF20aazyria,Candidate SL Type 1 SN,ZTF20a azyria,-1,-1,-1,,216.9208104,-7.188864,0.2,-1,1,0,,
ACT_CL_J0012_0855_J0012_0857,Cluster,ACT-CL J0012.8-0855,ACT-CL J0012.8-0855,-1,-1,,3.20375,-8.926389,0.337661,-1,0,0,,
ACT_CL_J0012_0855_J0012_0857,Cluster,ACT-CL J0012.9-0857,ACT-CL J0012.9-0857,-1,-1,,-1$,-8.954191,0.352,-1,0,0,,
MACSJ1105d7m1014,Cluster,MACS J1105.7-1014,MACS J1105.7-1014,-1,-1,,166.443592,-10.243667,0.466,-1,1,0,,
RXJ1347d5m1145,Cluster,RXC J1347.5-1144,MACS J1347.5-1144,MCXC J1347.5-1144,RXC J1347.5-1144,,206.8775,-11.752778,0.4503,-1,0,0,,
Abell2345,Cluster,Abell 2345,PLCK G039.9-40.0,MCXC J2127.1-1209,RXC J2127.1-1209,,321.795833,-12.159167,0.176,-1,1,0,,
MACSJ0025_BabyBullet,Cluster,MACS J0025.4-1222 Baby Bullet,Baby Bullet Cluster,MCXC J0025.4-1222,-1,,6.372421,-12.376961,0.584,-1,0,0,,
MS1008d1m1224,Cluster,MS1008.1-1224,MS1008.1-1224,MCXC J1010.5-1239,-1,,152.634167,-12.665278,0.301,-1,1,0,,
A222_A223,Cluster,A222 A223,ABELL 0223,MCXC J0137.9-1248,RXC J0137.9-1248,,24.485,-12.800278,0.2104,-1,0,0,,
A222_A223,Cluster,A222 A223,ABELL 0222,MCXC J0137.4-1259,RXC J0137.4-1259,,24.371667,-12.986111,0.216762,-1,0,0,,
RXCJ1558d3m1410,Cluster,RXC J1558.3-1410,-1,MCXC J1558.3-1410,RXC J1558.3-1410,,239.5966667,-14.16777778,0.097,3.18E+44,0,1,,
RXCJ1514d9m1523,Cluster,RXC J1514.9-1523,PSZ1 G346.61+35.06,MCXC J1514.9-1523,RXC J1514.9-1523,RXC J1514.9-1523; 2MASX J15150305-1521537,228.741667,-15.386111,0.2226,-1,1,0,,
MACSJ0011d7m1523,Cluster,MACS J0011.7-1523,MACS J0011.7-1523,MCXC J0011.7-1523,-1,,2.92875,-15.389444,0.378,-1,0,0,,
Abell3411,Cluster,Abell 3411,A3411,MCXC J0841.9-1729,RXC J0841.9-1729,Abell 3411/A3411,130.477917,-17.484722,0.1687,-1,1,0,,
AbellS780,Cluster,Abell S780,PLCK G341.0+35.1,MCXC J1459.4-1811,RXC J1459.4-1811,,224.872083,-18.186944,0.2357,-1,1,0,,
IC4715,Galaxy,IC 4715,MESSIER 024,-1,-1,,274.233847,-18.514558,-1,-1,1,0,,
WR112,Star,WR112,-1,-1,-1,,274.139546,-18.978428,0,-1,1,0,,
Abell2384a,Cluster,Abell 2384a,PLCK G033.5-48.4,MCXC J2152.4-1933,RXC J2152.4-1933,,328.1,-19.565,0.0943,1.66E+44,1,1,,
Abell2384b,Cluster,Abell 2384b,EXSS 2149.4-1955,MCXC J2152.2-1942,RXC J2152.2-1942,,328.0591667,-19.70555556,0.0963,9.62E+43,0,1,,
Abell3365,Cluster,Abell 3365,-1,-1,-1,,87.053589,-21.93439,0.0926,-1.00E+00,1,0,,
RXCJ2003d5m2323,Cluster,RXC J2003.5-2323,-1,MCXC J2003.5-2323,RXC J2003.5-2323,,300.876667,-23.384722,-1,-1,1,0,,
MACSJ2140d2m2339,Cluster,MACS J2140.2-2339,MACS J2140.2-2339,MCXC J2140.2-2339,-1,,325.063333,-23.661111,0.313,-1,0,0,,
MS2137m2353,Cluster,MS2137−2353,MS2137−2353,-1,-1,,325.06325,-23.661306,0.313,-1,1,0,,
MACSJ0416d1m2403,Cluster,MACS J0416.1-2403,MACS J0416.1-2403,-1,-1,,64.04125,-24.066111,0.397,-1,0,0,,
Abell141,Cluster,Abell 141,A141,MCXC J0105.5-2439,RXC J0105.5-2439,Abell 141/A141,16.395,-24.65472,0.23,-1,1,0,,
RXCJ1314d4m2515,Cluster,RXC J1314.4-2515,PSZ2 G309.49+37.31,MCXC J1314.4-2515,RXC J1314.4-2515,,198.61667,-25.26139,0.2474,-1,1,0,,
MACSJ1931d8m2635,Cluster,MACSJ1931.8-2634,MACSJ1931.8-2634,MCXC J1931.8-2634,-1,,292.95667,-26.57611,0.352,-1,1,0,,
