No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,ABELL 3827,22h01m53.4480s,-59d56m50.280s,330.4727,-59.9473,GClstr,29259.7439008,0.0976,UUN,0.0,131,0,2,32,41,0,1,0,1,0
2,2MASS J22015271-5956473,22h01m52.7138s,-59d56m47.396s,330.469641,-59.946499,G,28888.00125288,0.09636,UUN,0.103723429330077,2,0,12,4,2,0,0,0,0,0
3,2MASX J22015411-5956457,22h01m54.0492s,-59d56m45.430s,330.475205,-59.945953,G,29652.47202078,0.09891,UUN,0.11044287583994,2,0,18,4,2,2,0,0,1,0
4,ESO 146-IG 005 NED01,22h01m53.3541s,-59d56m43.386s,330.472309,-59.945385,G,29916.888968736,0.099792,SUN,0.115499137557915,11,0,20,9,7,2,1,0,1,0
5,ESO 146-IG 005,22h01m53.0276s,-59d56m43.397s,330.47094860425,-59.94538808249,GGroup,29916.8900479888,0.0997920036,SUN,0.126210751967707,12,1,8,4,3,12,0,2,3,0
6,2MASS J22015281-5956417,22h01m52.8124s,-59d56m41.780s,330.470052,-59.944939,G,29898.30183634,0.09973,UUN,0.162477191374724,2,0,8,3,2,0,0,0,0,0
7,ABELL 3827:[CGV2010] 1327,22h01m52.7900s,-59d56m37.730s,330.46995833333,-59.94381388889,G,33816.889054858,0.112801,UUN,0.224806670459903,1,0,2,1,1,0,0,0,0,0
8,Abell 3827:[MWS2015] N.6,22h01m51.6000s,-59d56m42.400s,330.465,-59.9451111111111,G,29979.2458,0.1,UUN,0.266050914614424,1,0,0,1,1,0,0,0,0,0
9,PSZRX G332.21-46.37,22h01m53.2250s,-59d57m38.689s,330.471771,-59.960747,XrayS,29379.660884,0.098,SST,0.807302553104184,1,0,0,1,1,0,0,0,0,0
10,WISEA J220149.47-595532.7,22h01m49.4731s,-59d55m32.736s,330.456138,-59.9257602,G,28803.459779724,0.096078,PUN,1.3849492820318,2,0,46,6,1,2,0,0,1,0
11,WISEA J220142.42-595704.3,22h01m42.4267s,-59d57m04.368s,330.4267781,-59.9512135,G,29403.044695724,0.098078,SUN,1.39960715567513,5,0,46,7,3,2,0,0,1,0
12,WISEA J220150.94-595820.8,22h01m50.9458s,-59d58m20.814s,330.4622745,-59.9724484,G,27035.28386244,0.09018,PUN,1.54105503629425,1,0,28,5,1,2,0,0,1,0
13,WISEA J220143.22-595546.4,22h01m43.2213s,-59d55m46.425s,330.430089,-59.9295627,G,32358.998331604,0.107938,SUN,1.66517765768108,3,0,35,5,1,2,0,0,1,0
14,WISEA J220207.23-595815.4,22h02m07.2341s,-59d58m15.437s,330.5301421,-59.9709548,G,30670.867000606,0.102307,SUN,2.23413397995971,4,0,29,6,2,2,0,0,1,0
15,WISEA J220155.82-595328.1,22h01m55.8235s,-59d53m28.192s,330.4825983,-59.8911646,G,29621.893190064,0.098808,SUN,3.38125255808195,4,0,29,6,2,2,0,0,1,0
16,WISEA J220207.99-595355.4,22h02m07.9949s,-59d53m55.472s,330.5333124,-59.8987424,G,116349.4529498,0.3881,PUN,3.43658276528713,2,0,33,5,1,0,0,0,0,0
17,WISEA J220125.01-595847.9,22h01m25.0118s,-59d58m47.903s,330.3542159,-59.9799733,IrS,27571.91236226,0.09197,PUN,4.06270538332191,1,0,36,5,2,0,0,0,0,0
18,WISEA J220116.61-595756.3,22h01m16.6198s,-59d57m56.306s,330.3192494,-59.9656406,G,28006.011841444,0.093418,SUN,4.73910589501182,3,0,29,5,1,2,0,0,1,0
19,WISEA J220232.88-595747.3,22h02m32.8808s,-59d57m47.332s,330.6370036,-59.9631479,G,28527.950510822,0.095159,SUN,5.02653519349371,3,0,28,6,2,2,0,0,1,0
20,WISEA J220123.78-600017.8,22h01m23.7884s,-60d00m17.804s,330.3491184,-60.0049456,G,30069.1835374,0.1003,PUN,5.07226352880279,4,0,45,8,2,3,0,0,1,0
21,WISEA J220123.14-595324.1,22h01m23.1428s,-59d53m24.186s,330.3464285,-59.8900517,G,31518.380279372,0.105134,PUN,5.1204653438042,3,0,28,6,1,2,0,0,1,0
22,WISEA J220211.81-595200.7,22h02m11.8143s,-59d52m00.783s,330.5492263,-59.8668842,G,31483.004769328,0.105016,SLS,5.34606351416811,1,0,28,5,3,2,0,0,1,1
23,WISEA J220238.78-595856.3,22h02m38.7818s,-59d58m56.394s,330.6615912,-59.9823317,G,29730.118267402,0.099169,SUN,6.04964385375672,5,0,46,8,3,2,0,0,1,0
24,WISEA J220109.11-595919.4,22h01m09.1110s,-59d59m19.450s,330.2879625,-59.9887361,G,31693.459074844,0.105718,PUN,6.07910752772397,2,0,28,5,1,2,0,0,1,0
25,WISEA J220154.91-600305.1,22h01m54.9109s,-60d03m05.114s,330.4787956,-60.0514207,G,34773.526788336,0.115992,PUN,6.2499179607099,1,0,28,5,1,2,0,0,1,0
26,WISEA J220225.90-595204.3,22h02m25.9024s,-59d52m04.369s,330.6079268,-59.8678803,G,28315.097865642,0.094449,SUN,6.26551052374439,3,0,29,6,2,2,0,0,1,0
27,2CXO J220243.3-595456,22h02m43.3423s,-59d54m56.095s,330.68059301789,-59.915582120663,XrayS,37474.05725,0.125,PUN,6.53303486247019,1,0,20,2,1,0,0,0,0,0
28,WISEA J220223.75-600210.9,22h02m23.7581s,-60d02m10.946s,330.5989923,-60.0363741,G,28908.087347566,0.096427,SLS,6.55171164129026,3,0,33,7,4,2,0,0,1,1
29,WISEA J220143.96-600319.5,22h01m43.9661s,-60d03m19.555s,330.4331924,-60.0554321,G,40572.41230343,0.135335,PUN,6.59528839117972,1,0,28,5,1,2,0,0,1,0
30,WISEA J220139.44-595019.3,22h01m39.4422s,-59d50m19.321s,330.4143426,-59.8387004,G,25981.213580112,0.086664,PUN,6.7485413991319,2,0,28,5,1,2,0,0,1,0
31,WISEA J220139.94-600334.7,22h01m39.9443s,-60d03m34.794s,330.4164349,-60.0596652,G,37450.373645818,0.124921,PUN,6.94996068644808,1,0,27,4,1,2,0,0,1,0
32,WISEA J220131.25-594957.1,22h01m31.2572s,-59d49m57.162s,330.3802386,-59.8325451,G,32592.836448844,0.108718,PUN,7.42648703551813,1,0,28,5,1,2,0,0,1,0
33,WISEA J220051.45-595651.3,22h00m51.4579s,-59d56m51.321s,330.2144079,-59.9475894,G,29945.968837162,0.099889,SUN,7.76108505649597,4,0,29,6,2,2,0,0,1,0
