"Cluster name","$z$","Survey","RA (deg)","Dec (deg)"
"1E0657 Bullet","0.296","SuperBIT","104.614502","-55.954745"
"Abell 1023","0.1176","LoVoCCS","157.000000","-6.800000"
"Abell 119","0.0442","LoVoCCS","14.080000","-1.220000"
"Abell 1205","0.078","LoVoCCS","168.340000","2.530000"
"Abell 1285","0.1068","LoVoCCS","172.580000","-14.580000"
"Abell 13","0.094","LoVoCCS","3.410000","-19.500000"
"Abell 1307","0.0834","LoVoCCS","173.220000","14.470000"
"Abell 133","0.0569","LoVoCCS","15.680000","-21.870000"
"Abell 1348","0.1195","LoVoCCS","175.350000","-12.270000"
"Abell 141","0.23","SuperBIT","16.400850","-24.660792"
"Abell 1606","0.0963","LoVoCCS","191.160000","-11.990000"
"Abell 1644","0.0473","LoVoCCS","194.290000","-17.400000"
"Abell 1650","0.0845","LoVoCCS","194.670000","-1.760000"
"Abell 1651","0.0845","LoVoCCS","194.840000","-4.190000"
"Abell 1689","0.183","SuperBIT","197.870247","-1.341682"
"Abell 1736","0.0458","LoVoCCS","201.730000","-27.180000"
"Abell 1750","0.0852","LoVoCCS","202.710000","-1.870000"
"Abell 1758","0.28","RELICS","203.175000","50.518056"
"Abell 1809","0.0788","LoVoCCS","208.250000","5.160000"
"Abell 2029","0.0766","LoVoCCS","227.730000","5.720000"
"Abell 2033","0.0817","LoVoCCS","227.850000","6.320000"
"Abell 2050","0.1181","LoVoCCS","229.080000","0.100000"
"Abell 2051","0.1198","LoVoCCS","229.140000","0.950000"
"Abell 2052","0.0353","LoVoCCS","229.180000","7.020000"
"Abell 2055","0.1021","LoVoCCS","229.690000","6.230000"
"Abell 2063","0.0355","LoVoCCS","230.770000","8.600000"
"Abell 209","0.206","CLASH","22.966983","-13.606208"
"Abell 2147","0.0353","LoVoCCS","240.580000","16.020000"
"Abell 2163","0.203","RELICS, SuperBIT","243.945119","-6.147837"
"Abell 2261","0.224","CLASH","260.607393","32.193730"
"Abell 2345","0.1789","SuperBIT","321.786476","-12.166786"
"Abell 2351","0.0897","LoVoCCS","323.570000","-13.480000"
"Abell 2377","0.0808","LoVoCCS","326.480000","-10.100000"
"Abell 2384","0.0943","LoVoCCS, SuperBIT","328.094247","-19.566260"
"Abell 2415","0.0582","LoVoCCS","331.420000","-5.590000"
"Abell 2420","0.0846","LoVoCCS","332.580000","-12.180000"
"Abell 2426","0.098","LoVoCCS","333.640000","-10.370000"
"Abell 2428","0.0825","LoVoCCS","334.060000","-9.340000"
"Abell 2440","0.0906","LoVoCCS","335.970000","-1.640000"
"Abell 2443","0.1072","LoVoCCS","336.510000","17.380000"
"Abell 2495","0.0768","LoVoCCS","342.590000","10.900000"
"Abell 2533","0.111","LoVoCCS","346.810000","-15.230000"
"Abell 2537","0.297","RELICS","347.087500","-2.195556"
"Abell 2554","0.1108","LoVoCCS","348.090000","-21.500000"
"Abell 2556","0.0871","LoVoCCS","348.250000","-21.630000"
"Abell 2566","0.0822","LoVoCCS","349.030000","-20.460000"
"Abell 2589","0.0416","LoVoCCS","350.970000","16.810000"
"Abell 2597","0.0852","LoVoCCS","351.330000","-12.130000"
"Abell 2670","0.0765","LoVoCCS","358.560000","-10.410000"
"Abell 2703","0.1164","LoVoCCS","1.340000","16.210000"
"Abell 2721","0.1147","LoVoCCS","1.510000","-34.720000"
"Abell 2734","0.062","LoVoCCS","2.840000","-28.860000"
"Abell 2744","0.308","HSTFF","3.588333","-30.397250"
"Abell 2811","0.1082","LoVoCCS","10.540000","-28.540000"
"Abell 2813","0.292","RELICS","73.525000","2.962222"
"Abell 2837","0.1141","LoVoCCS","13.190000","-80.270000"
"Abell 2871","0.1186","LoVoCCS","16.950000","-36.730000"
"Abell 2941","0.1168","LoVoCCS","26.260000","-53.010000"
"Abell 2988","0.115","LoVoCCS","33.220000","-47.130000"
"Abell 3104","0.0718","LoVoCCS","48.580000","-45.420000"
"Abell 3112","0.0752","LoVoCCS","49.490000","-44.240000"
"Abell 3126","0.0853","LoVoCCS","52.160000","-55.710000"
"Abell 3128","0.0624","LoVoCCS","52.500000","-52.600000"
"Abell 3158","0.059","LoVoCCS","55.720000","-53.640000"
"Abell 3192","0.425","RELICS, SuperBIT","59.715682","-29.943463"
"Abell 3266","0.0589","LoVoCCS","67.850000","-61.440000"
"Abell 3395","0.0506","LoVoCCS","96.810000","-54.470000"
"Abell 3411","0.162","SuperBIT","130.450455","-17.492267"
"Abell 3526","0.011","SuperBIT","192.196876","-41.307120"
"Abell 3528","0.0544","LoVoCCS","193.670000","-29.220000"
"Abell 3532","0.0554","LoVoCCS","194.320000","-30.380000"
"Abell 3558","0.048","LoVoCCS","201.990000","-31.500000"
"Abell 3571","0.0391","LoVoCCS, SuperBIT","206.879654","-32.860291"
"Abell 3667","0.0556","LoVoCCS, SuperBIT","303.155804","-56.843313"
"Abell 3695","0.0894","LoVoCCS","308.700000","-35.810000"
"Abell 370","0.375","HSTFF","39.970417","-1.576806"
"Abell 3716","0.045","SuperBIT","312.988492","-52.696372"
"Abell 3822","0.076","LoVoCCS","328.540000","-57.860000"
"Abell 3825","0.075","LoVoCCS","329.610000","-60.400000"
"Abell 3827","0.098","LoVoCCS, SuperBIT","330.437059","-59.957947"
"Abell 383","0.187","CLASH","42.006704","-3.526377"
"Abell 3911","0.0965","LoVoCCS","341.580000","-52.730000"
"Abell 3921","0.094","LoVoCCS","342.490000","-64.430000"
"Abell 399","0.0722","LoVoCCS","44.460000","13.050000"
"Abell 3998","0.0894","LoVoCCS","350.390000","-41.900000"
"Abell 401","0.0739","LoVoCCS","44.740000","13.580000"
"Abell 4038","0.03","LoVoCCS","356.930000","-28.140000"
"Abell 4059","0.0475","LoVoCCS","359.260000","-34.760000"
"Abell 4067","0.0989","LoVoCCS","359.830000","-60.700000"
"Abell 4068","0.1024","LoVoCCS","359.980000","-39.480000"
"Abell 42","0.112","LoVoCCS","7.160000","-23.640000"
"Abell 458","0.1057","LoVoCCS","56.480000","-24.280000"
"Abell 496","0.0326","LoVoCCS","68.410000","-13.260000"
"Abell 514","0.072","LoVoCCS","72.050000","-20.470000"
"Abell 611","0.288","CLASH","120.230827","36.063136"
"Abell 697","0.282","RELICS","130.745833","36.352500"
"Abell 754","0.0542","LoVoCCS","137.280000","-9.670000"
"Abell 761","0.0916","LoVoCCS","137.650000","-10.580000"
"Abell 763","0.0851","LoVoCCS","138.120000","15.940000"
"Abell 780","0.0539","LoVoCCS","139.530000","-12.090000"
"Abell 85","0.0555","LoVoCCS","10.460000","-9.300000"
"Abell 963","0.204","CLASH","154.262500","39.047200"
"Abell S0592","0.2216","SuperBIT","99.682327","-53.973849"
"Abell S1063","0.348","HSTFF","342.185000","-44.530139"
"Abell S295","0.300","RELICS","41.366667","-53.042222"
"ACOS1111/MS2316.3-4222","0.045","LoVoCCS","349.770000","-42.110000"
"ACT-CL J0012.8-0855","0.3377","SuperBIT","3.213489","-8.919999"
"ACT-CL J0102-4915","0.87","RELICS","15.718750","-49.249444"
"APMCC 699","0.0824","LoVoCCS","325.990000","-56.630000"
"ClG J0152-1358","0.833","RELICS","28.178750","-13.958611"
"ClG J1226+3332","0.89","CLASH","186.740417","33.547222"
"MACS J0025.4-1222","0.586","RELICS","6.372421","-12.376961"
"MACS J0035.4-2015","0.352","RELICS","8.862500","-20.261194"
"MACS J0159.8-0849","0.405","RELICS","6.370833","-12.381667"
"MACS J0308.9+2645","0.356","RELICS","47.245833","26.75833"
"MACS J0416.1–2403","0.45","CLASH","64.0375","-24.0746"
"MACS J0416.1-2403","0.397","HSTFF, SuperBIT","64.037871","-24.070525"
"MACS J0417.5-1154","0.443","RELICS","64.404167","-11.895833"
"MACS J0429.6-0253","0.399","CLASH","67.400","-2.885833"
"MACS J0553.4-3342","0.352","RELICS","88.345833","-33.701944"
"MACS J0717.5+3745","0.545","HSTFF, CLASH","109.402083","37.756389"
"MACS J0744.8+3927","0.686","CLASH","116.218750","39.458333"
"MACS J0911.2+1746","0.505","RELICS","137.804167","17.802500"
"MACS J1105.7-1014","0.466","SuperBIT","166.459583","-10.252434"
"MACS J1115.8+0129","0.352","CLASH","168.967083","1.498056"
"MACS J1149.5+2223","0.542","HSTFF, CLASH","177.399167","22.398611"
"MACS J1206.2-0847","0.439","CLASH","181.550833","-8.800556"
