wavelength,qe,qe_err
0.0501,0.0501,0.0006
0.05076,0.05076,0.0006299999999999999
0.05142,0.05142,0.00066
0.05208,0.05208,0.00069
0.05274,0.05274,0.0007199999999999999
0.0534,0.0534,0.00075
0.05406,0.05406,0.00078
0.05472,0.05472,0.00081
0.05538,0.05538,0.00084
0.05604,0.05604,0.00087
0.0567,0.0567,0.0009
0.056,0.056,0.00086
0.0553,0.0553,0.00082
0.0546,0.0546,0.00078
0.0539,0.0539,0.00074
0.0532,0.0532,0.0007
0.052500000000000005,0.052500000000000005,0.00066
0.0518,0.0518,0.00062
0.0511,0.0511,0.00058
0.0504,0.0504,0.00054
0.0497,0.0497,0.0005
0.05063,0.05063,0.00049
0.05156,0.05156,0.00048
0.05249,0.05249,0.00047000000000000004
0.05342,0.05342,0.00046
0.054349999999999996,0.054349999999999996,0.00045
0.055279999999999996,0.055279999999999996,0.00044
0.056209999999999996,0.056209999999999996,0.00043000000000000004
0.057139999999999996,0.057139999999999996,0.00042
0.05807,0.05807,0.00041
0.059,0.059,0.0004
0.06294999999999999,0.06294999999999999,0.0004
0.0669,0.0669,0.0004
0.07085,0.07085,0.0004
0.0748,0.0748,0.0004
0.07875,0.07875,0.0004
0.0827,0.0827,0.0004
0.08665,0.08665,0.0004
0.0906,0.0906,0.0004
0.09455,0.09455,0.0004
0.0985,0.0985,0.0004
0.1046,0.1046,0.00042
0.1107,0.1107,0.00044
0.1168,0.1168,0.00046
0.12290000000000001,0.12290000000000001,0.00047999999999999996
0.129,0.129,0.0005
0.1351,0.1351,0.00052
0.1412,0.1412,0.0005399999999999999
0.1473,0.1473,0.00056
0.1534,0.1534,0.00058
0.1595,0.1595,0.0006
0.16789,0.16789,0.00066
0.17628,0.17628,0.0007199999999999999
0.18467,0.18467,0.0007799999999999999
0.19306,0.19306,0.0008399999999999999
0.20145000000000002,0.20145000000000002,0.0009
0.20984,0.20984,0.0009599999999999999
0.21823,0.21823,0.0010199999999999999
0.22662,0.22662,0.0010799999999999998
0.23501,0.23501,0.00114
0.2434,0.2434,0.0012
0.25585,0.25585,0.00124
0.2683,0.2683,0.0012799999999999999
0.28075,0.28075,0.00132
0.2932,0.2932,0.0013599999999999999
0.30565,0.30565,0.0014
0.3181,0.3181,0.0014399999999999999
0.33055,0.33055,0.00148
0.34299999999999997,0.34299999999999997,0.00152
0.35545,0.35545,0.00156
0.3679,0.3679,0.0016
0.38141,0.38141,0.0016200000000000001
0.39492,0.39492,0.00164
0.40843,0.40843,0.00166
0.42194,0.42194,0.00168
0.43545,0.43545,0.0017000000000000001
0.44896,0.44896,0.00172
0.46247,0.46247,0.00174
0.47598,0.47598,0.00176
0.48949,0.48949,0.00178
0.503,0.503,0.0018
0.51384,0.51384,0.00189
0.52468,0.52468,0.00198
0.53552,0.53552,0.00207
0.5463600000000001,0.5463600000000001,0.00216
0.5572,0.5572,0.0022500000000000003
0.5680400000000001,0.5680400000000001,0.00234
0.5788800000000001,0.5788800000000001,0.00243
0.58972,0.58972,0.00252
0.6005600000000001,0.6005600000000001,0.0026100000000000003
0.6114,0.6114,0.0027
0.61911,0.61911,0.0027500000000000003
0.62682,0.62682,0.0028
0.63453,0.63453,0.00285
